RNA
5339.0
2782.0
5393.0
5397.0
5393.0
5393.0
2806.0
5363.0
""
5393.0
5378.0
2787.0
5363.0
2017.0
5361.0
5393.0
5393.0
226
5373.0
""
128
5397.0
5330.0
67.6
2806.0
5384.0
5397.0
5361.0
5363.0
1879
""
5385.0
2785.0
2808.0
5397.0
""
""
2833.0
5384.0
2806.0
2809.0
5393.0
143
""
5378.0
143
141
2809.0
5393
""
5363.0
5210.0
139
2809.0
""
5319
220.0
""
""
5397.0
5319
141
128
""
2828.0
134
220.0
2843.0
141
135
5384.0
5393.0
2806.0
5397.0
""
215
226
2843.0
2800.0
""
""
215
63.9
""
219.0
""
5393.0
""
226
5397.0
226
5384.0
""
113
""
143
""
""
""
""
141
""
141
143
91.6
""
""
""
""
143
141
141
""
143
165
141
152
""
222
""
""
115
141
""
""
""
226
""
165
143
""
""
""
165
108
224
63.9
165
58.4
108
54.7
111.0
78.7
""
""
115
""
54.7
""
""
""
""
58.4
""
""
""
""
111.0
""
""
