,fit_time,score_time,test_accuracy,test_roc_auc,test_precision,test_recall,test_f1
0,71.50607585906982,0.1180579662322998,0.7516059957173448,0.7532188841201717,0.6685714285714286,1.0,0.8013698630136986
1,68.61187505722046,0.09212088584899902,1.0,1.0,1.0,1.0,1.0
2,69.8020989894867,0.09167695045471191,1.0,1.0,1.0,1.0,1.0
3,66.42498707771301,0.09046196937561035,1.0,1.0,1.0,1.0,1.0
4,68.66592788696289,0.08922600746154785,1.0,1.0,1.0,1.0,1.0
5,61.9735631942749,0.09110879898071289,1.0,1.0,1.0,1.0,1.0
6,61.87704086303711,0.1222071647644043,1.0,1.0,1.0,1.0,1.0
7,88.0327570438385,0.09047293663024902,1.0,1.0,1.0,1.0,1.0
8,63.444761991500854,0.08811283111572266,1.0,1.0,1.0,1.0,1.0
9,65.00913786888123,0.09559416770935059,0.7489270386266095,0.7510729613733906,1.0,0.4978540772532189,0.664756446991404
