,fit_time,score_time,test_precision,test_accuracy,test_recall,test_roc_auc,test_f1
0,33.893068075180054,0.0842890739440918,0.6666666666666666,0.75,1.0,0.7631578947368421,0.8
1,25.261080026626587,0.2536051273345947,1.0,1.0,1.0,1.0,1.0
2,41.620952129364014,0.07518506050109863,1.0,1.0,1.0,1.0,1.0
3,34.473203897476196,0.14960217475891113,1.0,1.0,1.0,1.0,1.0
4,32.65427207946777,0.09556078910827637,1.0,1.0,1.0,1.0,1.0
5,21.842564821243286,0.08266687393188477,1.0,1.0,1.0,1.0,1.0
6,21.947680950164795,0.07808709144592285,1.0,1.0,1.0,1.0,1.0
7,21.36416482925415,0.08258199691772461,1.0,1.0,1.0,1.0,1.0
8,27.96588683128357,0.08927798271179199,1.0,1.0,1.0,1.0,1.0
9,21.745479822158813,0.08227825164794922,1.0,0.75,0.5,0.75,0.6666666666666666
