,fit_time,score_time,test_f1,test_precision,test_roc_auc,test_recall,test_accuracy
0,209.0196259021759,0.2489306926727295,0.8011782032400588,0.6683046683046683,0.7509225092250922,1.0,0.7513812154696132
1,138.7165880203247,0.1813340187072754,1.0,1.0,1.0,1.0,1.0
2,134.01555514335632,0.1786952018737793,1.0,1.0,1.0,1.0,1.0
3,118.40667581558228,0.17838525772094727,1.0,1.0,1.0,1.0,1.0
4,109.04666590690613,0.1811070442199707,1.0,1.0,1.0,1.0,1.0
5,119.0638279914856,0.16825604438781738,1.0,1.0,1.0,1.0,1.0
6,245.24374508857727,0.40824389457702637,1.0,1.0,1.0,1.0,1.0
7,106.09344911575317,0.15276074409484863,1.0,1.0,1.0,1.0,1.0
8,101.0790479183197,0.1628880500793457,1.0,1.0,1.0,1.0,1.0
9,100.54350900650024,0.14815998077392578,0.6650246305418719,1.0,0.7509225092250922,0.4981549815498155,0.7490774907749077
